feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__PAUC43f.marine.benthic.group.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Noto	envNoto	-0.692128223	0.55175446	0.254939283	1.42E-05	0.001056464	2.84E-05	0.001603734	NA	abundance	132	106
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Chromatiales.D_4__Sedimenticolaceae	env	Kitsuki	envKitsuki	-1.881238566	0.388324752	0.481334596	1.59E-05	0.001171269	1.59E-05	0.000956414	NA	abundance	132	126
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Cellvibrionales.D_4__Halieaceae	env	Tokyo_HK	envTokyo_HK	-0.941459042	0.250289059	0.23294669	1.72E-05	0.001254993	1.72E-05	0.001014947	NA	abundance	132	131
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Sva0485.__	env	Kitsuki	envKitsuki	-1.529594449	0.388324752	0.397253767	1.84E-05	0.001328135	3.67E-05	0.002018045	NA	abundance	132	97
B_D_0__Bacteria.D_1__Calditrichaeota.D_2__Calditrichia.D_3__Calditrichales.D_4__Calditrichaceae	env	Hakata	envHakata	1.070285525	-0.547560018	0.350281825	1.85E-05	0.001328197	3.7E-05	0.002018754	NA	abundance	132	123
B_D_0__Bacteria.D_1__Actinobacteria.D_2__WCHB1.81.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Saiki	envSaiki	-5.47840347	0	1.28175973	1.92E-05	0.001363919	1.92E-05	0.001122456	NA	prevalence	132	25
B_D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae	env	Tokyo_HK	envTokyo_HK	3.184946977	0.250289059	0.623632825	2.02E-05	0.001421894	4.04E-05	0.002180776	NA	abundance	132	74
B_D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae	env	Hakata	envHakata	1.643424801	-0.547560018	0.479392689	2.05E-05	0.001432144	4.1E-05	0.002196978	NA	abundance	132	101
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.D_4__uncultured.gamma.proteobacterium	env	Tokyo_HK	envTokyo_HK	-1.049192418	0.250289059	0.259708596	2.23E-05	0.001542109	2.23E-05	0.001279029	NA	abundance	132	101
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__uncultured.__	env	Hakata	envHakata	-2.241512387	-0.547560018	0.34627637	2.29E-05	0.001572113	4.58E-05	0.002432831	NA	abundance	132	51
B_D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae	env	Hakata	envHakata	2.239137711	-0.547560018	0.608151844	2.54E-05	0.001731048	5.08E-05	0.002657194	NA	abundance	132	72
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhizobiales.D_4__Rhizobiaceae	env	Hakata	envHakata	1.004786429	-0.547560018	0.342729401	2.71E-05	0.001829276	5.42E-05	0.002808548	NA	abundance	132	124
B_D_0__Bacteria.D_1__Planctomycetes.D_2__OM190.__.__	env	Hakata	envHakata	1.195778549	-0.547560018	0.382579533	2.96E-05	0.001985552	5.93E-05	0.003049095	NA	abundance	132	86
B_D_0__Bacteria.D_1__Nitrospirae.D_2__Thermodesulfovibrionia.D_3__uncultured.__	env	Saiki	envSaiki	-4.450319738	0	1.066897639	3.03E-05	0.002011833	6.06E-05	0.003065541	NA	prevalence	132	58
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhizobiales.D_4__Methyloligellaceae	env	Kitsuki	envKitsuki	-0.845492841	0.388324752	0.246154193	3.36E-05	0.002211708	3.36E-05	0.001877719	NA	abundance	132	127
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Caldilineales.D_4__Caldilineaceae	env	Kitsuki	envKitsuki	-1.088657933	0.388324752	0.30936747	3.39E-05	0.00221604	3.39E-05	0.001880199	NA	abundance	132	128
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhizobiales.D_4__Hyphomicrobiaceae	env	Saiki	envSaiki	-1.190995143	0.130607133	0.289046334	3.6E-05	0.002314598	7.2E-05	0.003585591	NA	abundance	132	128
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.D_4__uncultured.bacterium	env	Hakata	envHakata	-2.250582356	-0.547560018	0.375061323	3.57E-05	0.002314598	7.14E-05	0.003585236	NA	abundance	132	78
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhizobiales.D_4__Methyloligellaceae	env	Hakata	envHakata	0.56836257	-0.547560018	0.246154193	4.12E-05	0.002626518	8.23E-05	0.004069283	NA	abundance	132	127
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.D_4__uncultured.gamma.proteobacterium	env	Hakata	envHakata	-1.721807358	-0.547560018	0.259708596	4.94E-05	0.003128677	9.88E-05	0.004810842	NA	abundance	132	101
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Thermoanaerobaculia.D_3__Thermoanaerobaculales.D_4__Thermoanaerobaculaceae	env	Saiki	envSaiki	-0.79361189	0.130607133	0.189750927	5.06E-05	0.003175983	5.06E-05	0.002657194	NA	abundance	132	132
B_D_0__Bacteria.D_1__Planctomycetes.D_2__Phycisphaerae.D_3__Phycisphaerales.D_4__Phycisphaeraceae	env	Saiki	envSaiki	-1.682868151	0.130607133	0.411618743	5.2E-05	0.003220624	0.000104012	0.004954817	NA	abundance	132	93
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__NB1.j.D_4__uncultured.organism	env	Saiki	envSaiki	-4.182931469	0	1.033805874	5.21E-05	0.003220624	0.000104132	0.004954817	NA	prevalence	132	67
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Ectothiorhodospirales.D_4__Ectothiorhodospiraceae	env	Tokyo_KC	envTokyo_KC	-0.824984313	1.075083241	0.426425357	5.28E-05	0.003239688	0.000105548	0.004984991	NA	abundance	132	128
B_D_0__Bacteria.D_1__Dadabacteria.D_2__Dadabacteriia.D_3__Dadabacteriales.D_4__uncultured.organism	env	Noto	envNoto	-1.324072	0.55175446	0.367637088	5.44E-05	0.003315519	0.000108837	0.005102523	NA	abundance	132	30
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__BD2.11.terrestrial.group.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Saiki	envSaiki	-1.580855851	0.130607133	0.386158714	5.84E-05	0.003528853	0.00011671	0.005392362	NA	abundance	132	82
B_D_0__Bacteria.D_1__Acidobacteria.D_2__d142.D_3__uncultured.Acidobacteria.bacterium.D_4__uncultured.Acidobacteria.bacterium	env	Saiki	envSaiki	1.738370769	0.130607133	0.353582617	6.01E-05	0.003609556	6.01E-05	0.003065541	NA	abundance	132	64
B_D_0__Bacteria.D_1__Dadabacteria.D_2__Dadabacteriia.D_3__Dadabacteriales.D_4__uncultured.organism	env	Saiki	envSaiki	-3.502847214	0	0.874290109	6.16E-05	0.00367161	0.000123244	0.005573082	NA	prevalence	132	30
B_D_0__Bacteria.D_1__Planctomycetes.D_2__Planctomycetacia.D_3__Planctomycetales.D_4__Gimesiaceae	env	Kitsuki	envKitsuki	-1.473958687	0.388324752	0.4120216	6.43E-05	0.003804	0.000128627	0.005735133	NA	abundance	132	80
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.21.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Kitsuki	envKitsuki	-1.564716292	0.388324752	0.428451307	6.5E-05	0.003815507	0.000129957	0.005754229	NA	abundance	132	67
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__BD2.11.terrestrial.group.__.__	env	Hakata	envHakata	0.778390713	-0.547560018	0.305567652	6.73E-05	0.00392172	0.000134543	0.005916178	NA	abundance	132	109
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__BD2.11.terrestrial.group.D_3__uncultured.marine.microorganism.D_4__uncultured.marine.microorganism	env	Kitsuki	envKitsuki	2.421119503	0.388324752	0.408620901	7.77E-05	0.004497372	0.000155401	0.006694848	NA	abundance	132	34
B_D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiaceae.1	env	Hakata	envHakata	1.23737347	-0.547560018	0.425257803	8.28E-05	0.004755831	0.000165505	0.00706332	NA	abundance	132	106
B_D_0__Bacteria.D_1__Actinobacteria.__.__.__	env	Saiki	envSaiki	-4.387383779	0	1.116178513	8.47E-05	0.004832829	8.47E-05	0.004153832	NA	prevalence	132	28
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Milano.WF1B.44.D_4__uncultured.bacterium	env	Saiki	envSaiki	-1.852253663	0.130607133	0.431595049	9.34E-05	0.005290841	0.000186735	0.007884897	NA	abundance	132	38
B_D_0__Bacteria.D_1__Epsilonbacteraeota.D_2__Campylobacteria.D_3__Campylobacterales.D_4__Sulfurovaceae	env	Okayama_G	envOkayama_G	1.99616892	-0.10375483	0.51565471	0.000102002	0.005700137	0.000203993	0.008556971	NA	abundance	132	118
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Myxococcales.D_4__Sandaracinaceae	env	Noto	envNoto	-0.410508512	0.55175446	0.219707364	0.000101456	0.005700137	0.000101456	0.004900629	NA	abundance	132	132
D_4__Marinilabiliaceae	dex	non	cndnon	0.816964348	0.063446432	0.182998911	0.00011419	0.006337536	0.00011419	0.005314412	NA	abundance	132	109
B_D_0__Bacteria.D_1__Planctomycetes.D_2__OM190.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Hakata	envHakata	0.949183129	-0.547560018	0.35662114	0.000116371	0.006414633	0.000232728	0.009538612	NA	abundance	132	83
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Rhodothermia.D_3__Rhodothermales.D_4__Rhodothermaceae	env	Tokyo_KC	envTokyo_KC	2.852297979	1.075083241	0.411290859	0.000118009	0.006455194	0.000118009	0.005405925	NA	abundance	132	87
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Chromatiales.D_4__Chromatiaceae	env	Kitsuki	envKitsuki	2.319595895	0.388324752	0.461499427	0.0001187	0.006455194	0.0001187	0.005405925	NA	abundance	132	123
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__Gemmatimonadetes.D_3__Gemmatimonadales.D_4__Gemmatimonadaceae	env	Noto	envNoto	-1.026877479	0.55175446	0.381330641	0.000125117	0.006714075	0.000250219	0.010033935	NA	abundance	132	96
B_D_0__Bacteria.D_1__Actinobacteria.D_2__WCHB1.81.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Noto	envNoto	-5.512398201	0	1.436666333	0.000124578	0.006714075	0.000124578	0.005593746	NA	prevalence	132	25
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Chitinophagales.D_4__uncultured	env	Kitsuki	envKitsuki	3.408279854	0.388324752	0.658504328	0.000136704	0.007287573	0.000136704	0.005970024	NA	abundance	132	33
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__MBAE14.D_4__uncultured.bacterium	env	Saiki	envSaiki	-4.320355852	0	1.133955615	0.000138974	0.007360185	0.000138974	0.00602789	NA	prevalence	132	12
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhizobiales.D_4__Methyloligellaceae	env	Tokyo_HK	envTokyo_HK	-0.836985129	0.250289059	0.246154193	0.000150944	0.00794221	0.000301865	0.01188083	NA	abundance	132	127
B_D_0__Bacteria.D_1__Actinobacteria.D_2__Coriobacteriia.D_3__OPB41.D_4__uncultured.bacterium	env	Hakata	envHakata	1.377196851	-0.547560018	0.479000579	0.000162731	0.008507162	0.000325436	0.012652306	NA	abundance	132	94
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Caldilineales.D_4__Caldilineaceae	env	Tokyo_HK	envTokyo_HK	-1.048472362	0.250289059	0.30936747	0.00016617	0.008538331	0.00016617	0.00706332	NA	abundance	132	128
B_D_0__Bacteria.D_1__Epsilonbacteraeota.D_2__Campylobacteria.D_3__Campylobacterales.D_4__Thiovulaceae	env	Hakata	envHakata	2.095400373	-0.547560018	0.654742644	0.000166008	0.008538331	0.000331989	0.012788461	NA	abundance	132	72
B_D_0__Bacteria.D_1__Nitrospinae.D_2__P9X2b3D02.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Saiki	envSaiki	-1.916682105	0.130607133	0.503101506	0.000166488	0.008538331	0.000332949	0.012788461	NA	abundance	132	79
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__PAUC43f.marine.benthic.group.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Saiki	envSaiki	-1.140464483	0.130607133	0.307711059	0.000182142	0.00922696	0.000364251	0.013828092	NA	abundance	132	106
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhizobiales.D_4__Rhizobiaceae	env	Noto	envNoto	1.758713388	0.55175446	0.296812368	0.000182193	0.00922696	0.000364354	0.013828092	NA	abundance	132	124
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__Gemmatimonadetes.D_3__Gemmatimonadales.D_4__Gemmatimonadaceae	env	Saiki	envSaiki	-1.277860426	0.130607133	0.345691263	0.000192369	0.00968178	0.000384701	0.014428555	NA	abundance	132	96
B_D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__PeM15.D_4__uncultured.bacterium	env	Saiki	envSaiki	-6.794590459	0	1.83564985	0.00021436	0.010721955	0.00021436	0.008933055	NA	prevalence	132	33
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__SBR1031.D_4__metagenome	env	Tokyo_KC	envTokyo_KC	-0.848110275	1.075083241	0.476886472	0.000217853	0.010829818	0.000435658	0.01624418	NA	abundance	132	107
B_D_0__Bacteria.D_1__Nitrospinae.D_2__P9X2b3D02.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Noto	envNoto	-1.322185209	0.55175446	0.473222986	0.000233513	0.011398543	0.000466972	0.017111574	NA	abundance	132	79
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhodovibrionales.D_4__Kiloniellaceae	env	Kitsuki	envKitsuki	2.556171592	0.388324752	0.545367943	0.000233379	0.011398543	0.000233379	0.009538612	NA	abundance	132	97
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.21.D_3__uncultured.hydrocarbon.seep.bacterium.BPC102.D_4__uncultured.hydrocarbon.seep.bacterium.BPC102	env	Saiki	envSaiki	-4.020066962	0	1.091633201	0.000230852	0.011398543	0.000230852	0.009538612	NA	prevalence	132	16
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Chromatiales.D_4__Chromatiaceae	env	Tokyo_HK	envTokyo_HK	2.068082166	0.250289059	0.461499427	0.000238814	0.011587469	0.000238814	0.009698574	NA	abundance	132	123
B_D_0__Bacteria.D_1__Acidobacteria.D_2__ODP1230B23.02.D_3__uncultured.organism.D_4__uncultured.organism	env	Saiki	envSaiki	-4.01161482	0	1.092607669	0.00024104	0.011625864	0.00024104	0.009727022	NA	prevalence	132	21
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__uncultured.D_4__uncultured.bacterium	env	Hakata	envHakata	1.165925629	-0.547560018	0.428591376	0.000246673	0.011827174	0.000493285	0.017769423	NA	abundance	132	64
B_D_0__Bacteria.D_1__Latescibacteria.D_2__Latescibacteria.D_3__Latescibacterales.D_4__Latescibacteraceae	env	Kitsuki	envKitsuki	-1.429877605	0.388324752	0.454650654	0.000263866	0.012503531	0.000527662	0.018485557	NA	abundance	132	93
B_D_0__Bacteria.D_1__Planctomycetes.D_2__Phycisphaerae.D_3__CCM11a.D_4__uncultured.bacterium	env	Noto	envNoto	-3.837135725	0	1.051652379	0.000263598	0.012503531	0.000527127	0.018485557	NA	prevalence	132	44
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhodovibrionales.D_4__Kiloniellaceae	env	Tokyo_KC	envTokyo_KC	3.184775826	1.075083241	0.534880404	0.000268237	0.012636766	0.000268237	0.010689241	NA	abundance	132	97
D_4__Desulfobulbaceae	dex	non	cndnon	-0.28365718	0.063446432	0.082708865	0.000273498	0.012810151	0.000273498	0.010831209	NA	abundance	132	132
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Chromatiales.D_4__Sedimenticolaceae	env	Tokyo_KC	envTokyo_KC	-0.858433354	1.075083241	0.494075289	0.00028901	0.013458894	0.000577936	0.019918499	NA	abundance	132	126
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfuromonadales.D_4__Sva1033	env	Tokyo_KC	envTokyo_KC	-0.23071129	1.075083241	0.308622246	0.000292863	0.013560378	0.00058564	0.020075472	NA	abundance	132	82
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.22.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Hakata	envHakata	0.981853686	-0.547560018	0.394631687	0.000296568	0.013653934	0.000593049	0.020220734	NA	abundance	132	88
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Chromatiales.D_4__Chromatiaceae	env	Saiki	envSaiki	1.612281322	0.130607133	0.382757757	0.0003159	0.014461775	0.0003159	0.012356906	NA	abundance	132	123
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Ignavibacteria.D_3__Kryptoniales.D_4__BSV26	env	Saiki	envSaiki	-2.98315347	0	0.833407308	0.000344296	0.015673227	0.000688474	0.022863089	NA	prevalence	132	49
B_D_0__Bacteria.D_1__Marinimicrobia..SAR406.clade..D_2__uncultured.bacterium.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Saiki	envSaiki	2.750643896	0.130607133	0.686019894	0.000368684	0.016689653	0.000737232	0.024355409	NA	abundance	132	69
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Chitinophagales.D_4__Saprospiraceae	env	Okayama_G	envOkayama_G	-1.853057758	-0.10375483	0.472088454	0.00037686	0.016964977	0.00037686	0.0142181	NA	abundance	132	127
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Acidiferrobacterales.D_4__Acidiferrobacteraceae	env	Saiki	envSaiki	-2.830092578	0	0.798266131	0.000392167	0.017556519	0.00078418	0.025772857	NA	prevalence	132	28
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Sphingobacteriales.D_4__Lentimicrobiaceae	env	Kitsuki	envKitsuki	-1.198788658	0.388324752	0.41113495	0.000428462	0.019075995	0.000856741	0.028013243	NA	abundance	132	121
B_D_0__Bacteria.D_1__Acidobacteria.D_2__d142.D_3__uncultured.Acidobacteria.bacterium.D_4__uncultured.Acidobacteria.bacterium	env	Tokyo_HK	envTokyo_HK	1.768395638	0.250289059	0.387330351	0.000441107	0.01953165	0.00088202	0.028692648	NA	abundance	132	64
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Ardenticatenales.D_4__uncultured	env	Kitsuki	envKitsuki	-1.625984496	0.388324752	0.531852476	0.000451292	0.019556614	0.00090238	0.029054238	NA	abundance	132	93
B_D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__PeM15.D_4__uncultured.bacterium	env	Noto	envNoto	-6.845560379	0	1.949851895	0.000446743	0.019556614	0.000446743	0.01648635	NA	prevalence	132	33
B_D_0__Bacteria.D_1__Marinimicrobia..SAR406.clade..D_2__uncultured.bacterium.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Saiki	envSaiki	2.947038429	0	0.840067627	0.000451325	0.019556614	0.000737232	0.024355409	NA	prevalence	132	69
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Milano.WF1B.44.D_4__uncultured.bacterium	env	Noto	envNoto	-6.841293979	0	1.948828569	0.000447324	0.019556614	0.000447324	0.01648635	NA	prevalence	132	38
B_D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiaceae.1	env	Noto	envNoto	1.934637763	0.55175446	0.36828406	0.000454843	0.019604237	0.00090948	0.029054238	NA	abundance	132	106
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidetes.VC2.1.Bac22.D_4__uncultured.Bacteroidetes.bacterium	env	Kitsuki	envKitsuki	-1.530090575	0.388324752	0.507419326	0.000460344	0.019632462	0.000920476	0.029054238	NA	abundance	132	103
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Ardenticatenales.D_4__uncultured	env	Tokyo_HK	envTokyo_HK	-1.651618709	0.250289059	0.506157838	0.000460168	0.019632462	0.000920123	0.029054238	NA	abundance	132	93
B_D_0__Bacteria.D_1__Latescibacteria.D_2__uncultured.bacterium.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Hakata	envHakata	1.074943	-0.547560018	0.439619345	0.000474225	0.020118564	0.000948225	0.029636687	NA	abundance	132	111
B_D_0__Bacteria.D_1__Patescibacteria.D_2__WS6..Dojkabacteria..D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Noto	envNoto	-4.56112744	0	1.30589885	0.000478143	0.020179148	0.000478143	0.017420815	NA	prevalence	132	40
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfuromonadales.D_4__Desulfuromonadaceae	env	Saiki	envSaiki	2.716471714	0.130607133	0.678122262	0.000491138	0.02056402	0.000982034	0.03040872	NA	abundance	132	53
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.22.D_3__uncultured.Acidobacteriaceae.bacterium.D_4__uncultured.Acidobacteriaceae.bacterium	env	Saiki	envSaiki	-3.785252025	0	1.086189684	0.000492339	0.02056402	0.000492339	0.017769423	NA	prevalence	132	18
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__SJA.15.D_4__uncultured.bacterium	env	Noto	envNoto	-1.198445817	0.55175446	0.471236076	0.000503776	0.020933827	0.001007298	0.03087756	NA	abundance	132	78
B_D_0__Bacteria.D_1__Actinobacteria.D_2__Thermoleophilia.D_3__Gaiellales.D_4__uncultured	env	Tokyo_HK	envTokyo_HK	-1.22786851	0.250289059	0.392833582	0.000507507	0.020981281	0.001014757	0.030920248	NA	abundance	132	118
B_D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae	env	Hakata	envHakata	1.774285988	-0.547560018	0.629408443	0.000516602	0.021035325	0.001032938	0.030920248	NA	abundance	132	74
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhodobacterales.D_4__Rhodobacteraceae	env	Okayama_G	envOkayama_G	0.973235804	-0.10375483	0.293920887	0.000513829	0.021035325	0.000513829	0.01840546	NA	abundance	132	132
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Dehalococcoidia.D_3__MSBL5.D_4__uncultured.bacterium	env	Noto	envNoto	-3.574644246	0	1.029208972	0.0005143	0.021035325	0.001028336	0.030920248	NA	prevalence	132	47
B_D_0__Bacteria.D_1__Planctomycetes.D_2__Phycisphaerae.D_3__Pla1.lineage.__	env	Hakata	envHakata	-2.746336006	-0.547560018	0.49990638	0.00052122	0.021117225	0.00052122	0.018485557	NA	abundance	132	21
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__BD2.11.terrestrial.group.D_3__unidentified.bacterium.wb1_A18.D_4__unidentified.bacterium.wb1_A18	env	Hakata	envHakata	-2.778889794	-0.547560018	0.53704592	0.000525155	0.021170796	0.000525155	0.018485557	NA	abundance	132	27
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidetes.VC2.1.Bac22.D_4__uncultured.Bacteroidetes.bacterium	env	Tokyo_HK	envTokyo_HK	1.713126359	0.250289059	0.388881542	0.000553385	0.0221984	0.001106463	0.032790188	NA	abundance	132	103
B_D_0__Bacteria.D_1__Actinobacteria.D_2__Coriobacteriia.D_3__OPB41.__	env	Saiki	envSaiki	-3.726873926	0	1.080869364	0.000564684	0.022540059	0.000564684	0.019674444	NA	prevalence	132	22
B_D_0__Bacteria.D_1__Actinobacteria.__.__.__	env	Noto	envNoto	-4.455539729	0	1.294083549	0.000575283	0.02285057	0.000575283	0.019918499	NA	prevalence	132	28
B_D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae	env	Kitsuki	envKitsuki	2.651420833	0.388324752	0.619197668	0.00059055	0.023229249	0.001180751	0.034405516	NA	abundance	132	101
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfarculales.D_4__Desulfarculaceae	env	Tokyo_HK	envTokyo_HK	-1.361547724	0.250289059	0.434895561	0.000588353	0.023229249	0.001176361	0.034405516	NA	abundance	132	97
B_D_0__Bacteria.D_1__Actinobacteria.D_2__Coriobacteriia.D_3__OPB41.D_4__unidentified.marine.bacterioplankton	env	Noto	envNoto	6.076516563	0	1.774827055	0.000617695	0.024179627	0.000617695	0.020949061	NA	prevalence	132	77
B_D_0__Bacteria.D_1__Planctomycetes.D_2__Planctomycetacia.D_3__Planctomycetales.D_4__Rubinisphaeraceae	env	Tokyo_KC	envTokyo_KC	2.886257225	1.075083241	0.484972013	0.000630818	0.024574621	0.001261239	0.036223687	NA	abundance	132	89
B_D_0__Bacteria.D_1__Kiritimatiellaeota.D_2__Kiritimatiellae.D_3__Kiritimatiellales.D_4__Kiritimatiellaceae	env	Saiki	envSaiki	-2.634693016	0	0.771323922	0.000635935	0.02465541	0.001271465	0.036344078	NA	prevalence	132	56
B_D_0__Bacteria.D_1__Chloroflexi.D_2__KD4.96.__.__	env	Hakata	envHakata	-2.696439489	-0.547560018	0.474405457	0.000652057	0.025160094	0.000652057	0.021997444	NA	abundance	132	18
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfuromonadales.D_4__Sva1033	env	Saiki	envSaiki	-5.769557496	0	1.693318415	0.000656212	0.025200418	0.001311994	0.036689797	NA	prevalence	132	82
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__SBR1031.D_4__anaerobic.digester.metagenome	dex	non	cndnon	1.923314236	0	0.565256171	0.000667593	0.025516553	0.000667593	0.022403028	NA	prevalence	132	49
B_D_0__Bacteria.D_1__Planctomycetes.D_2__Phycisphaerae.D_3__CCM11a.D_4__uncultured.bacterium	env	Okayama_G	envOkayama_G	-1.665869072	-0.10375483	0.415083276	0.00067827	0.025802937	0.00067827	0.02264216	NA	abundance	132	44
B_D_0__Bacteria.D_1__Actinobacteria.D_2__WCHB1.81.__.__	env	Hakata	envHakata	4.376278703	0	1.288435669	0.000682329	0.025836021	0.001364192	0.037817764	NA	prevalence	132	36
